observation_date,FRARECM
2/1/1960,1
3/1/1960,1
4/1/1960,1
5/1/1960,1
6/1/1960,1
7/1/1960,1
8/1/1960,1
9/1/1960,1
10/1/1960,1
11/1/1960,1
12/1/1960,1
1/1/1961,0
2/1/1961,0
3/1/1961,0
4/1/1961,0
5/1/1961,0
6/1/1961,0
7/1/1961,0
8/1/1961,0
9/1/1961,0
10/1/1961,0
11/1/1961,0
12/1/1961,0
1/1/1962,0
2/1/1962,0
3/1/1962,0
4/1/1962,0
5/1/1962,1
6/1/1962,1
7/1/1962,1
8/1/1962,1
9/1/1962,1
10/1/1962,1
11/1/1962,1
12/1/1962,1
1/1/1963,1
2/1/1963,1
3/1/1963,0
4/1/1963,0
5/1/1963,0
6/1/1963,0
7/1/1963,0
8/1/1963,0
9/1/1963,0
10/1/1963,0
11/1/1963,0
12/1/1963,0
1/1/1964,0
2/1/1964,0
3/1/1964,0
4/1/1964,0
5/1/1964,0
6/1/1964,0
7/1/1964,0
8/1/1964,0
9/1/1964,0
10/1/1964,0
11/1/1964,0
12/1/1964,0
1/1/1965,0
2/1/1965,0
3/1/1965,0
4/1/1965,0
5/1/1965,0
6/1/1965,0
7/1/1965,0
8/1/1965,0
9/1/1965,0
10/1/1965,1
11/1/1965,1
12/1/1965,1
1/1/1966,1
2/1/1966,1
3/1/1966,1
4/1/1966,1
5/1/1966,1
6/1/1966,1
7/1/1966,1
8/1/1966,1
9/1/1966,1
10/1/1966,1
11/1/1966,1
12/1/1966,1
1/1/1967,1
2/1/1967,1
3/1/1967,1
4/1/1967,1
5/1/1967,1
6/1/1967,1
7/1/1967,1
8/1/1967,1
9/1/1967,1
10/1/1967,1
11/1/1967,1
12/1/1967,1
1/1/1968,1
2/1/1968,1
3/1/1968,1
4/1/1968,1
5/1/1968,1
6/1/1968,0
7/1/1968,0
8/1/1968,0
9/1/1968,0
10/1/1968,0
11/1/1968,0
12/1/1968,0
1/1/1969,0
2/1/1969,0
3/1/1969,0
4/1/1969,0
5/1/1969,0
6/1/1969,0
7/1/1969,0
8/1/1969,0
9/1/1969,0
10/1/1969,0
11/1/1969,0
12/1/1969,0
1/1/1970,0
2/1/1970,0
3/1/1970,0
4/1/1970,0
5/1/1970,0
6/1/1970,0
7/1/1970,0
8/1/1970,0
9/1/1970,0
10/1/1970,0
11/1/1970,0
12/1/1970,0
1/1/1971,0
2/1/1971,0
3/1/1971,0
4/1/1971,0
5/1/1971,0
6/1/1971,0
7/1/1971,0
8/1/1971,0
9/1/1971,0
10/1/1971,1
11/1/1971,1
12/1/1971,1
1/1/1972,1
2/1/1972,1
3/1/1972,1
4/1/1972,1
5/1/1972,1
6/1/1972,1
7/1/1972,1
8/1/1972,0
9/1/1972,0
10/1/1972,0
11/1/1972,0
12/1/1972,0
1/1/1973,0
2/1/1973,0
3/1/1973,0
4/1/1973,0
5/1/1973,0
6/1/1973,0
7/1/1973,0
8/1/1973,0
9/1/1973,0
10/1/1973,0
11/1/1973,0
12/1/1973,0
1/1/1974,0
2/1/1974,1
3/1/1974,1
4/1/1974,1
5/1/1974,1
6/1/1974,1
7/1/1974,1
8/1/1974,1
9/1/1974,1
10/1/1974,1
11/1/1974,1
12/1/1974,1
1/1/1975,1
2/1/1975,1
3/1/1975,1
4/1/1975,1
5/1/1975,1
6/1/1975,1
7/1/1975,1
8/1/1975,0
9/1/1975,0
10/1/1975,0
11/1/1975,0
12/1/1975,0
1/1/1976,0
2/1/1976,0
3/1/1976,0
4/1/1976,0
5/1/1976,0
6/1/1976,0
7/1/1976,0
8/1/1976,0
9/1/1976,0
10/1/1976,0
11/1/1976,0
12/1/1976,0
1/1/1977,0
2/1/1977,0
3/1/1977,0
4/1/1977,0
5/1/1977,0
6/1/1977,0
7/1/1977,0
8/1/1977,0
9/1/1977,0
